,POI,Do_Rejon,Czas_PrT,Czas_PuT
270,13.0,9.0,82.81282269623665,91.04811258384773
271,14.0,9.0,133.29209765698755,300.160224668189
272,15.0,9.0,85.66472395913965,277.6713407448831
273,16.0,9.0,226.7113190120123,289.4542826656265
274,17.0,9.0,61.3106047849489,197.796104734116
275,18.0,9.0,73.58748903700177,323.65719379748145
276,19.0,9.0,69.2409564727397,174.58465641854193
277,20.0,9.0,86.87764072560702,603.7185091460997
278,21.0,9.0,113.44046818936616,337.31398662486407
279,22.0,9.0,93.2024922415908,299.7993323281669
280,23.0,9.0,118.90851992281539,528.3471265868009
281,24.0,9.0,178.50226900250166,606.2863330659227
282,25.0,9.0,106.90195302876414,731.9830912933998
283,26.0,9.0,90.8253158111526,490.43194488141376
284,27.0,9.0,55.425777790088084,355.6007138380662
285,28.0,9.0,126.42883761892175,207.94105790046865
286,29.0,9.0,80.85398382901296,999999.0
287,30.0,9.0,110.29693266718823,289.4621388975788
288,31.0,9.0,81.59787207413815,417.056765290544
289,32.0,9.0,161.87306617031808,273.67123092323595
290,1.0,10.0,193.23944463507678,437.47763104991753
291,2.0,10.0,71.61152485719161,429.6558284493107
292,3.0,10.0,243.8555017713279,449.7939559823815
293,4.0,10.0,167.55726573975912,528.8506454821488
294,5.0,10.0,127.75535459787466,404.16750791016733
295,6.0,10.0,390.29895156252854,981.1847334029769
296,7.0,10.0,414.0017019610503,999999.0
297,8.0,10.0,126.44900081841686,452.0611076312614
298,9.0,10.0,63.59514021128373,265.40279842971233
299,10.0,10.0,65.18267743540235,445.5183099754465
300,11.0,10.0,92.72896024436042,276.1587585098357
301,12.0,10.0,79.878943158393,248.18157304798885
302,13.0,10.0,81.24666007511603,89.55611258384772
303,14.0,10.0,131.7259350358669,298.668224668189
304,15.0,10.0,84.53113825605769,276.1793407448831
305,16.0,10.0,227.01743207248387,287.9622826656265
306,17.0,10.0,59.744442163828275,196.304104734116
307,18.0,10.0,72.02132641588115,320.8071937974815
308,19.0,10.0,67.6772220529979,171.73465641854193
309,20.0,10.0,85.72303277143865,600.8685091460997
310,21.0,10.0,113.5271381581464,335.8219866248641
311,22.0,10.0,93.7498461174781,298.3873323281669
312,23.0,10.0,117.34235730169476,525.4971265868008
313,24.0,10.0,176.93610638138102,603.4363330659227
314,25.0,10.0,105.33579040764351,729.1330912933997
315,26.0,10.0,89.30259394067251,487.5819448814138
316,27.0,10.0,53.903055919607986,352.75071383806625
317,28.0,10.0,124.90611574844165,205.09105790046863
318,29.0,10.0,79.28782120789232,999999.0
319,30.0,10.0,108.94521663817227,289.6811388975788
320,31.0,10.0,80.24615604512219,415.56476529054396
321,32.0,10.0,160.52135014130212,272.17923092323593
322,1.0,11.0,194.81293962265357,438.80163104991755
323,2.0,11.0,73.1850198447684,432.3378284493107
